22,2
23,2
24,1
25,1
26,6
29,1
30,1
32,5
33,2
34,4
35,3
36,5
37,1
42,1
43,3
44,4
45,2
46,2
47,3
52,2
53,1
54,3
55,1
56,1
57,2
62,3
63,3
64,5
66,5
67,1
68,1
73,3
74,1
75,2
76,4
77,3
78,1
80,1
84,1
88,1
97,1
105,1
122,6
123,6
124,3
125,7
126,5
127,3
128,1
129,1
132,8
133,12
134,8
135,7
136,11
137,6
138,1
139,2
140,1
142,6
143,9
144,11
145,9
146,13
147,1
148,1
149,3
150,2
152,5
153,10
154,4
155,3
156,7
157,7
158,2
159,2
160,1
162,6
163,4
164,5
165,7
166,10
167,6
168,3
169,1
172,2
173,6
174,3
175,7
176,14
177,5
178,5
183,4
184,1
185,3
186,2
187,2
193,2
194,2
195,1
203,2
204,1
205,3
207,1
210,1
222,14
223,22
224,17
225,8
226,7
227,13
229,3
230,2
232,15
233,20
234,20
235,14
236,15
237,4
238,6
239,4
240,1
242,12
243,23
244,13
245,15
246,25
247,10
248,2
249,3
250,1
252,9
253,13
254,15
255,7
256,8
257,9
259,1
260,1
262,5
263,18
264,25
265,16
266,10
267,9
268,1
269,1
270,1
272,1
273,3
274,8
275,6
276,5
277,7
278,1
279,1
280,2
282,1
283,4
284,4
285,1
287,2
292,1
293,3
294,1
295,1
296,2
297,1
303,1
304,3
305,3
308,1
322,3
323,14
324,8
325,6
326,4
327,11
328,1
329,2
332,6
333,12
334,14
335,8
336,14
337,7
338,3
339,2
340,5
342,11
343,9
344,17
345,10
346,15
347,17
348,7
349,2
350,3
352,7
353,8
354,10
355,4
356,10
357,4
358,3
359,3
362,4
363,17
364,20
365,4
366,9
367,5
368,1
370,2
372,2
373,7
374,3
375,6
376,6
377,5
378,2
383,5
384,5
385,7
386,2
387,1
388,2
393,2
394,2
397,1
403,2
404,1
406,1
422,2
423,7
424,5
425,4
426,4
427,4
428,1
429,1
430,1
432,12
433,11
434,12
435,6
436,21
437,5
438,1
439,2
440,3
442,10
443,15
444,18
445,7
446,20
447,12
448,3
450,3
452,7
453,12
454,14
455,5
456,6
457,4
458,1
459,2
460,2
462,4
463,13
464,12
465,12
466,11
467,9
468,6
